title,writers
조선전력공사,영협
악마를 살라먹는 소방관,오늘도요
나태한 천재 스트라이커,한명현
매국노의 원수 자식,슈가트
이세계 흙수저 선원으로 살아남기,필부지용
신비한 무공사전 [독점],백열
1941 타임슬립 대전략,knoxk
귀신의 재능을 삼켜라,SSANTA
화력조선,보헤미아
임꺽정은 살아있다,까다롭스키
무(한)과금 헌터의 던전 육성법,필리포스
고려 흑태자,마천대성
"반골(反骨), 세상을 바꾸다",나정치
아카데미에 위장취업당했다 [독점],sayren
상점 쓰는 이세계 전사,Cadilet
삼국지 : 제갈량의 처남이 되었다,조작가R
대마법사는 빌런을 압살한다,크레도
뇌제가 돌아왔다 신병으로,아보카도칩
그림이 제일 쉬움,붐붐파우
악마는 오늘도 출근합니다 [독점],덕킹
귀신들린 예고천재 [독점],구작가
천재 배우의 탄생 [무료연재],진채
다정해지려는 당신에게 [선공개],톳재이
예성강도(禮成江圖),하무린
위험 남주의 사악한 계약.,시크로터스
빌런이 엔딩을 바꿈,베르헤라
"이세계, 갓겜으로 정복하다",장스
막장 선조가 되었다,Cider.cap
잡캐여도 너보단 강함,한기언
러스트 [ RUST ],글라딘
인생게임의 주인공이 됐다 [독점],불량집사
건설명가 만렙 신입사원,정차장.
역대급 창기사의 회귀,조선생님
다시 사는 재벌가 망나니 [독점],맹물사탕
Lv.99 흑염의 프린세스 [독점],린지
필드의 이방인,드러먼드
딸바보 천재 프로듀서 [독점],원섭
고인물은 이계가 너무 쉽다,JHK서랍
임시육아 중인 시한부 악녀입니다 [독점],박깃털
전남편의 집착을 거절하는 법 [독점],핑크림
얘는 물고 저는 찢어요 [선공개],바고트
"조선, 혁명의 시대",태사령
공작가 네 쌍둥이는 모두 먼치킨 [독점],쿠크디스
탱킹을 너무 잘함 [독점],쿨타
탐식의 왕 [독점],Readoff
망겜에서 살아남는 법 [독점],도술
악역은 악역답게 [선공개],홍마노
게임 속 아바타의 재능으로 동화율 돌파,꾸찌꾸찌
원치 않게 흑막 남주를 길들여버렸다,감기조심하셰요
"그 악녀 인생, 제가 한번 살아 볼게요 [독점]",민트베리
러브캐처 [독점],귤주리
이번엔 전남편의 동생과 새 출발합니다 [선공개],마감조
용사는 조용히 살고 싶다 [독점],Curtain Call
강철 소방대 [독점],쿤빠
망겜의 고인물로 살아남기 [독점],휴헤
검존환생 [독점],섭풍
모두가 그녀를 기억하게 되었을 때 [선공개],윤델리코
재벌가 첫째아들 [독점],하늘곰
핵무기도 만들어 드릴까요?,북홀릭
혼세록 《살신자》,기백
"구원, 그 잔혹함에 대하여 [선공개]",한보연
회귀 안내서를 구독하는 공녀님 [선공개],바가지
천재의 음악방송,강선우
아기 스트리머의 수금 생활,다이드
천재 쉐프 조선을 부탁해!,무정호
아카데미의 짝퉁검성 [독점],룬하임
아포칼립스의 좀비술사,화가많은
얼굴 천재 배우님 [독점],빌리언맨
공작가의 헌터들 [독점],용H
날 버렸던 남편이 갑자기 집착한다 [선공개],디올 부케
66666년 만에 환생한 흑마법사 [독점],화봉
게임 속 대현자가 되었다 [독점],글밈
아카데미 천재 마학자가 되었다,카이트AG
용사의 형으로 산다는 것 [독점],졸린작가
뒷골목 마법사의 회귀생활 [독점],카이로스
검은머리 MLB 단장,보리네집사
회귀로 세계 재벌,불량집사
공작님이 마법을 너무 잘 쓴다 [독점],핫소스통
캬! 이 맛에 포수 한다!,성연(誠衍)
막나가는 금융가 서자 [무료연재],회귀한작가
귀환 군주가 너무 강함,MangoRed
고졸순경이 경찰청장 되기,해황
회귀했더니 드래곤의 힘을 얻었다,이우찬
회귀한 탑 등반자 [독점],글장장이
